Age,Gender,Occupation,Income,Location,Consumption frequency,Protein Source,Buying behaviour,is_RTC_customer,RTC_customer_frequency,protein_concious,protein_products_awareness,Nutritional value,Shelf-life,Price,Packaging design,Brand trust,Convenience,Concerns,WTP,Channels,Channel_selection_driver,RTC_current_satisfaction_score,challenges,information_sources,digital_rec_preference,interest,packet_size_preference,gym_frequency,preservative_sensitivity,shelf_life_preference
50+,Female,Home maker,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, ",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",3,"Short shelf-life, High price, Limited availability, Lack of variety, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions, Online reviews",1,Yes,Pack of 4 rotis,Never,5.0,Maybe
50+,Female,Home maker,Prefer not to say,Urban,2–3 times a week,Lentils & Pulses,Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Less Important,Less Important,Less Important,Neutral,Neutral,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",Below ₹40,Supermarkets,"Convenience, Price, Trust in the vendor",3,"Short shelf-life, Inconsistent quality, High price, Limited availability, Unclear nutritional information",Social media,3,Yes,Pack of 4 rotis,Daily,5.0,Yes
50+,Female,Home maker,"25,000-50,000",Urban,Daily,Lentils & Pulses,Make it fresh at home,Yes,Rarely,I try to include protein-rich foods but don’t track it,Protein shakes,Very Important,Very Important,Very Important,Less Important,Somewhat Important,Very Important,Shelf Life & Preservatives,Below ₹40,Supermarkets,Product quality,2,Inconsistent quality,"TV or radio commercials, Word of mouth",4,Yes,Pack of 4 rotis,Daily,5.0,Yes
25–34,Male,Student,Prefer not to say,Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry",Make it fresh at home,No,Never,I carefully track my protein intake,"Protein bars, Protein shakes",Neutral,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,"Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Trust in the vendor, Speed of delivery",3,"Short shelf-life, High price, Lack of variety",In-store promotions,1,Yes,Pack of 6 rotis,Once a week,4.0,Yes
25–34,Female,Home maker,"50,000-1,00,000",Urban,4–6 times a week,"Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta",Very Important,Very Important,Somewhat Important,Neutral,Somewhat Important,Somewhat Important,"Taste & Texture, Availability",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Price, Product quality, Trust in the vendor",5,Short shelf-life,"Social media, TV or radio commercials",3,Yes,Pack of 4 rotis,2-3 times a week,4.0,Yes
35–50,Female,Home maker,"More than 1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Product quality, Trust in the vendor, Speed of delivery",3,"Short shelf-life, High price, Unclear nutritional information","TV or radio commercials, In-store promotions, Online reviews",4,Yes,Pack of 2 rotis,4-6 times a week,4.0,Maybe
50+,Female,Working professional,"50,000-1,00,000",Urban,Daily,Eggs,Make it fresh at home,No,Never,I assume my diet provides enough protein,None of the above,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Shelf Life & Preservatives,Below ₹40,Supermarkets,Product quality,4,Lack of variety,Online reviews,5,No,Pack of 6 rotis,Once a week,5.0,No
18–24,Female,Student,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry, Protein Bars/Supplements",Make it fresh at home,Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Somewhat Important,Very Important,Somewhat Important,Less Important,Very Important,Very Important,"Taste & Texture, Shelf Life & Preservatives",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Trust in the vendor",4,Limited availability,"Social media, Word of mouth",3,Yes,Pack of 4 rotis,4-6 times a week,4.0,Maybe
25–34,Female,Working professional,"More than 1,00,000",Urban,Less than once a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Buy ready-to-eat packaged rotis,Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Neutral,Somewhat Important,Somewhat Important,Not important,Very Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹60-₹80,"Local Store, Supermarkets","Convenience, Price, Product quality, Trust in the vendor, Variety of products",4,"Inconsistent quality, High price, Unclear nutritional information","Social media, In-store promotions, Word of mouth",3,Yes,Pack of 4 rotis,2-3 times a week,5.0,Maybe
25–34,Male,Student,"More than 1,00,000",Semi-urban,Once a week,Meat & Poultry,Buy from a restaurant,Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes",Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Trust in the vendor, Speed of delivery",4,"Short shelf-life, High price, Lack of variety","Social media, In-store promotions",2,Yes,Pack of 4 rotis,2-3 times a week,3.0,Yes
25–34,Male,Student,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Buy from a restaurant,Yes,Always,I assume my diet provides enough protein,"Protein bars, Protein shakes",Somewhat Important,Very Important,Neutral,Neutral,Somewhat Important,Very Important,"Shelf Life & Preservatives, Availability",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",4,Limited availability,In-store promotions,1,Yes,Pack of 6 rotis,Once a week,4.0,Yes
25–34,Male,Working professional,"50,000-1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs",Make it fresh at home,Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein shakes, High-protein cereals/snacks",Neutral,Less Important,Neutral,Not important,Neutral,Neutral,"Price, Shelf Life & Preservatives, Availability",Below ₹40,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery",3,"High price, Unclear nutritional information",Word of mouth,2,Yes,Pack of 6 rotis,2-3 times a week,3.0,No
25–34,Male,Working professional,"25,000-50,000",Rural,2–3 times a week,"Eggs, Meat & Poultry",Buy ready-to-cook packaged rotis,Yes,Often,I don’t pay attention to protein intake,"Protein bars, Protein shakes, High-protein cereals/snacks",Neutral,Very Important,Somewhat Important,Neutral,Very Important,Somewhat Important,"Price, Skepticism about nutritional claims",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Speed of delivery",4,"Short shelf-life, Lack of variety","Social media, In-store promotions, Word of mouth",2,Yes,Pack of 6 rotis,Never,2.0,Yes
25–34,Male,Working professional,"More than 1,00,000",Semi-urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-cook packaged rotis",Yes,Often,I don’t pay attention to protein intake,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Not important,Very Important,Very Important,Neutral,Somewhat Important,Very Important,"Price, Taste & Texture, Availability",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",5,"Short shelf-life, Inconsistent quality","In-store promotions, Word of mouth",4,Yes,Pack of 6 rotis,Never,2.0,Yes
25–34,Male,Working professional,"50,000-1,00,000",Urban,Once a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-cook packaged rotis",Yes,Often,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Very Important,Very Important,Not important,Very Important,Very Important,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Trust in the vendor, Speed of delivery, Variety of products",3,"Short shelf-life, High price, Lack of variety","Social media, Online reviews",3,Yes,Pack of 6 rotis,2-3 times a week,3.0,Yes
25–34,Male,Working professional,"More than 1,00,000",Urban,Less than once a week,"Eggs, Meat & Poultry, Protein Bars/Supplements",Buy ready-to-eat packaged rotis,Yes,Sometimes,I don’t pay attention to protein intake,"Protein bars, Protein shakes",Somewhat Important,Less Important,Somewhat Important,Less Important,Neutral,Neutral,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹40-₹60,"Local Store, Supermarkets","Convenience, Price",2,"Short shelf-life, High price, Limited availability","Social media, Word of mouth, Online reviews",1,Yes,Pack of 8 rotis,2-3 times a week,1.0,Yes
25–34,Male,Working professional,"More than 1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Make it fresh at home, Cook prepares it",Yes,Rarely,I carefully track my protein intake,"Protein bars, Protein shakes, High-protein bread/atta",Very Important,Somewhat Important,Somewhat Important,Neutral,Somewhat Important,Neutral,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",3,"Inconsistent quality, Unclear nutritional information",Online reviews,3,Yes,Pack of 4 rotis,4-6 times a week,4.0,Maybe
50+,Male,Working professional,"50,000-1,00,000",Urban,Once a week,"Lentils & Pulses, Eggs, Meat & Poultry",Buy ready-to-eat packaged rotis,Yes,Often,I try to include protein-rich foods but don’t track it,High-protein cereals/snacks,Not important,Not important,Not important,Neutral,Not important,Not important,Taste & Texture,₹60-₹80,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery",4,"Inconsistent quality, Lack of variety, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions, Word of mouth",2,Maybe,Pack of 6 rotis,4-6 times a week,3.0,Maybe
25–34,Male,Working professional,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry",Buy ready-to-cook packaged rotis,Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes",Less Important,Somewhat Important,Very Important,Neutral,Neutral,Neutral,"Price, Taste & Texture, Skepticism about nutritional claims",Below ₹40,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Product quality, Speed of delivery",4,"Short shelf-life, Inconsistent quality, High price, Lack of variety","Social media, TV or radio commercials, In-store promotions, Word of mouth",2,Yes,Pack of 6 rotis,Daily,5.0,Maybe
25–34,Male,Working professional,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Meat & Poultry",Office buffet,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Somewhat Important,Neutral,Neutral,Less Important,Very Important,Very Important,"Taste & Texture, use of harmful ingredients to increase shelf life or decrease making cost (rise of analogue paneer )",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery, Variety of products",2,Lack of trust in quality ,"Social media, Word of mouth, Online reviews",2,Yes,Pack of 4 rotis,Once a week,4.0,No
25–34,Male,Working professional,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Buy ready-to-cook packaged rotis, Buy from a restaurant",Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta",Not important,Very Important,Somewhat Important,Neutral,Somewhat Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives",₹80-₹100,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",5,"Short shelf-life, Limited availability","Word of mouth, Online reviews",4,Yes,Pack of 4 rotis,2-3 times a week,4.0,Yes
25–34,Prefer not to say,Working professional,Prefer not to say,Urban,Once a week,"Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Not important,Not important,Very Important,Not important,Not important,Very Important,"Price, Taste & Texture, Availability",Below ₹40,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Speed of delivery",4,"High price, Limited availability, Lack of variety","Social media, TV or radio commercials, In-store promotions, Word of mouth, Online reviews",1,Yes,10,4-6 times a week,3.0,Yes
50+,Male,Farmer,"More than 1,00,000",Rural,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Meat & Poultry",Buy ready-to-cook packaged rotis,Yes,Often,I assume my diet provides enough protein,"Protein bars, Protein shakes, ",Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Skepticism about nutritional claims,Below ₹40,Supermarkets,"Convenience, Variety of products",4,"Short shelf-life, Limited availability, Lack of variety, Unclear nutritional information","Social media, Word of mouth",2,Yes,Pack of 6 rotis,4-6 times a week,5.0,Maybe
50+,Female,Home maker,"Below 25,000",Urban,2–3 times a week,"Lentils & Pulses, Eggs, Meat & Poultry",Buy from a restaurant,Yes,Rarely,I don’t pay attention to protein intake,"High-protein bread/atta, High-protein cereals/snacks",Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Skepticism about nutritional claims,Below ₹40,Local Store,Convenience,1,Inconsistent quality,Word of mouth,2,Maybe,Pack of 8 rotis,Never,3.0,Yes
50+,Male,Working professional,"50,000-1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-cook packaged rotis",Yes,Sometimes,I try to include protein-rich foods but don’t track it,None of the above,Very Important,Somewhat Important,Neutral,Neutral,Somewhat Important,Somewhat Important,Shelf Life & Preservatives,₹40-₹60,"Local Store, Supermarkets","Convenience, Product quality, Variety of products",3,Inconsistent quality,"Social media, Word of mouth",2,Yes,Pack of 4 rotis,Daily,3.0,No
50+,Female,Home maker,"50,000-1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt)",Make it fresh at home,Yes,Sometimes,I try to include protein-rich foods but don’t track it,Protein bars,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Shelf Life & Preservatives,₹40-₹60,Supermarkets,Convenience,4,Unclear nutritional information,In-store promotions,1,Maybe,Pack of 8 rotis,Daily,5.0,No
50+,Male,Working professional,"50,000-1,00,000",Urban,2–3 times a week,Meat & Poultry,Make it fresh at home,Yes,Rarely,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Very Important,Somewhat Important,Less Important,Neutral,Neutral,"Price, Shelf Life & Preservatives",₹60-₹80,Supermarkets,"Convenience, Price, Product quality, Variety of products",4,"Short shelf-life, High price, Limited availability, Lack of variety","TV or radio commercials, Word of mouth, Online reviews",5,Maybe,Pack of 4 rotis,2-3 times a week,5.0,Yes
50+,Male,Working professional,"Below 25,000",Rural,4–6 times a week,"Dairy (Milk, Paneer, Yogurt)",Make it fresh at home,Yes,Rarely,I don’t pay attention to protein intake,None of the above,Neutral,Neutral,Neutral,Neutral,Neutral,Very Important,Shelf Life & Preservatives,Below ₹40,Local Store,Convenience,2,Inconsistent quality,Social media,2,Yes,Pack of 4 rotis,Never,4.0,Yes
50+,Male,Home maker,"Below 25,000",Urban,Daily,Eggs,Make it fresh at home,Yes,Rarely,I assume my diet provides enough protein,None of the above,Less Important,Less Important,Neutral,Less Important,Neutral,Less Important,Shelf Life & Preservatives,₹40-₹60,Supermarkets,Product quality,3,Inconsistent quality,TV or radio commercials,1,Yes,Pack of 6 rotis,Daily,2.0,No
50+,Male,Working professional,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry","Make it fresh at home, Buy from a restaurant",Yes,Rarely,I assume my diet provides enough protein,"Protein bars, High-protein bread/atta",Not important,Less Important,Neutral,Not important,Less Important,Less Important,Skepticism about nutritional claims,₹40-₹60,Supermarkets,"Convenience, Price, Trust in the vendor, Variety of products",3,"Short shelf-life, Unclear nutritional information, Suspicious sodium content ","In-store promotions, Word of mouth, Supermarket display ",3,Maybe,Pack of 6 rotis,2-3 times a week,5.0,Maybe
18–24,Female,Student,"Below 25,000",Urban,4–6 times a week,"Lentils & Pulses, Eggs, Meat & Poultry",Buy from a restaurant,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Somewhat Important,Somewhat Important,Somewhat Important,Neutral,Somewhat Important,Less Important,Availability,₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Speed of delivery, Variety of products",3,"High price, Limited availability","Social media, Word of mouth, Online reviews",4,Yes,Pack of 4 rotis,2-3 times a week,1.0,Yes
50+,Male,Working professional,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs",Make it fresh at home,Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein shakes, High-protein cereals/snacks",Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Local Store, Supermarkets","Convenience, Trust in the vendor, Speed of delivery",4,"Inconsistent quality, Lack of variety, Unclear nutritional information","TV or radio commercials, In-store promotions, Word of mouth",2,Yes,Pack of 4 rotis,Once a week,5.0,No
50+,Female,Home maker,"50,000-1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-cook packaged rotis",Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Very Important,Very Important,Very Important,Not important,Very Important,Not important,Skepticism about nutritional claims,₹40-₹60,"Local Store, Supermarkets","Convenience, Price, Product quality, Trust in the vendor, Variety of products",3,"Short shelf-life, Inconsistent quality, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions, Word of mouth, Online reviews",5,Yes,Pack of 4 rotis,4-6 times a week,5.0,No
25–34,Female,Student,"Below 25,000",Urban,Once a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Make it fresh at home, Buy from a restaurant",No,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Less Important,Somewhat Important,Very Important,Not important,Neutral,Less Important,"Price, Taste & Texture, Shelf Life & Preservatives",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart), E-commerce websites (e.g., Amazon)",Price,2,"Short shelf-life, High price",Online reviews,3,Yes,Pack of 4 rotis,4-6 times a week,3.0,Maybe
25–34,Male,Student,"50,000-1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry",Get from mess,Yes,Rarely,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Not important,Somewhat Important,Very Important,Less Important,Somewhat Important,Very Important,"Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery, Variety of products",3,"Unclear nutritional information, High amount of salt, preservatives, not enough taste, thawing takes time","In-store promotions, Word of mouth",1,Yes,Pack of 4 rotis,Never,2.0,No
25–34,Male,Working professional,Prefer not to say,Semi-urban,Less than once a week,"Lentils & Pulses, Eggs, Meat & Poultry, Protein Bars/Supplements","Make it fresh at home, Buy from a restaurant",No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Somewhat Important,Very Important,Not important,Somewhat Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",2,"Short shelf-life, High price, Limited availability, Lack of variety, Unclear nutritional information","Social media, TV or radio commercials, Word of mouth, Online reviews",3,Maybe,Pack of 4 rotis,Once a week,4.0,Maybe
18–24,Male,Student,"Below 25,000",Semi-urban,4–6 times a week,Meat & Poultry,"Make it fresh at home, Buy ready-to-cook packaged rotis, Buy from a restaurant",Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims",Below ₹40,Local Store,"Convenience, Price, Product quality, Trust in the vendor",4,Short shelf-life,"Social media, TV or radio commercials, Word of mouth",3,Yes,Pack of 4 rotis,2-3 times a week,4.0,Yes
25–34,Male,Working professional,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Make it fresh at home, Free food from office",Yes,Never,I assume my diet provides enough protein,"Protein bars, Protein shakes",Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,"Price, Taste & Texture, Skepticism about nutritional claims",₹80-₹100,"Local Store, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",2,tastes like cardboard,"In-store promotions, Word of mouth",1,Maybe,Pack of 8 rotis,4-6 times a week,2.0,Yes
18–24,Male,Student,Prefer not to say,Urban,Less than once a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry, Protein Bars/Supplements",Buy from a restaurant,Yes,Rarely,I carefully track my protein intake,"Protein bars, Protein shakes, High-protein cereals/snacks",Very Important,Neutral,Very Important,Less Important,Somewhat Important,Very Important,"Price, Skepticism about nutritional claims",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Trust in the vendor, Speed of delivery",3,Lack of variety,"Social media, TV or radio commercials, In-store promotions",3,Yes,Pack of 4 rotis,Never,4.0,Maybe
25–34,Female,Student,"Below 25,000",Rural,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Protein Bars/Supplements",Campus outlets,Yes,Rarely,I carefully track my protein intake,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Not important,Less Important,Neutral,Somewhat Important,Not important,"Taste & Texture, Shelf Life & Preservatives",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart), E-commerce websites (e.g., Amazon)","Convenience, Speed of delivery",2,"Inconsistent quality, Limited availability, Lack of variety","Social media, TV or radio commercials, Word of mouth, Online reviews",3,Yes,Pack of 6 rotis,4-6 times a week,5.0,No
25–34,Male,Working professional,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Somewhat Important,Very Important,Neutral,Less Important,Neutral,Neutral,"Price, Taste & Texture",Below ₹40,Supermarkets,"Convenience, Variety of products",3,High price,Social media,1,Yes,Pack of 4 rotis,2-3 times a week,5.0,Yes
25–34,Male,Student,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry","Make it fresh at home, Buy from a restaurant",No,Rarely,I assume my diet provides enough protein,Protein bars,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",Below ₹40,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",2,"Short shelf-life, Inconsistent quality, High price, Limited availability, Unclear nutritional information","Social media, TV or radio commercials, Word of mouth, Online reviews",2,Maybe,Pack of 4 rotis,2-3 times a week,5.0,No
18–24,Male,Student,"More than 1,00,000",Rural,Once a week,"Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-eat packaged rotis, ",Yes,Sometimes,I don’t pay attention to protein intake,"Protein bars, Protein shakes, High-protein cereals/snacks",Neutral,Somewhat Important,Somewhat Important,Less Important,Very Important,Somewhat Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Local Store, Supermarkets","Convenience, Trust in the vendor",3,"Inconsistent quality, Lack of variety","Social media, In-store promotions, Word of mouth",4,Yes,Pack of 6 rotis,4-6 times a week,5.0,Yes
25–34,Male,Student,"50,000-1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry, Protein Bars/Supplements",Buy from a restaurant,Yes,Rarely,I assume my diet provides enough protein,"Protein bars, Protein shakes",Very Important,Somewhat Important,Somewhat Important,Neutral,Somewhat Important,Somewhat Important,"Taste & Texture, Shelf Life & Preservatives",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Trust in the vendor, Speed of delivery, Variety of products",3,"Short shelf-life, Unclear nutritional information","TV or radio commercials, In-store promotions, Word of mouth",2,Maybe,Pack of 4 rotis,2-3 times a week,3.0,No
18–24,Female,Student,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Buy from a restaurant,Yes,Sometimes,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein cereals/snacks",Less Important,Less Important,Somewhat Important,Somewhat Important,Very Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹60-₹80,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Product quality, Speed of delivery, Variety of products",3,"High price, Limited availability, Lack of variety",Word of mouth,2,Yes,Pack of 4 rotis,Never,5.0,No
